id,en,ru,be,zh,sp,fi,bel,pl,emoji,lv,kl
$quit,Quit,Выход,Вынахад,输出,Salida,Poistua,Vynachad,Odejdź,🚪,Iziet,Vâhod
$pausetext,Press ESC to continue,Нажмите ESC чтобы продолжить,Націсніце ESC каб працягнуць,按 ESC 继续,Pulse ESC para continuar,Paina ESC jatkaaksesi,Naciśnicie ESC kab praciahnuć,"Naciśnij ESC, aby kontynuować",⏸ 5⃣ 😣,"Nospiediet ESC, lai turpinātu",Nažmite ESC çtobâ prodolžitá
$help,Help,Помочь с переводом игры,Дапамагчы,帮助,Ayuda,Auttaa pelin kääntämiseen!,Dapamahčy,Pomoc,ℹ ⏮ ✍ 🕹,Palīdzēt ar tulkojumu,Pomoçá s perevodom igrâ
$youdead,You have died!,Вы умерли!,Вы памерлі!,你死定了！,¡Estás muerto!,Olet kuollut!,Vy pamierli!,Umarłeś!,👆 ☠️ ❗,Jūs miris,Vâ umerli!
$score,Score,Счёт,Рахунак,查看,Controlar,Pistemäärä,Rachunak,Wynik,🏧,Rezultāti,Sçǐot
$bestscore,Best score,Лучший счёт,Лепшы рахунак,最佳成绩,Mejor puntuación,Paras pistemäärä,Liepšy rachunak,Najlepszy wynik,🏆 💯,Labākais rezultāts,Luçšiǐ sçǐot
$gotomenu,Go to menu,В меню,Выйсці ў меню,退出到菜单,Salir al menú,Poistu valikkoon,Vyjsci ŭ mieniu,Przejdź do menu,🍣,Iziet uz izvēlni,V menǐu
$placeholdergmname,Choose a gamemode,Выберите режим,Абярыце рэжым,选择模式,Seleccione el modo,Valitse pelin,Abiarycie režym,Wybierz tryb gry,🖊 📳,Izvēlieties režīmu,Vâberite režim
$placeholdergmdesc,Choose a gamemode to learn more.,Выберите режим чтобы узнать больше,Абярыце рэжым каб даведацца больш,选择模式以了解更多信息,Seleccione el modo para saber más,"Valitse pelin, että saa lisää tietoa.",Abiarycie režym kab daviedacca boĺš,"Wybierz tryb gry, aby dowiedzieć się więcej.",🖊 📳 💡 🌅,"Izvēlieties režīmu, lai uzzinātu vairāk",Vâberite režim çtobâ uznatá boláše
$gamemodeselect,Choose a gamemode,Выберите режим,Абярыце рэжым,选择模式,Seleccione el modo,Valitse pelin,Abiarycie režym,Wybierz tryb gry,🖊 📳,Izvēlieties režīmu,Vâberite režim
$standardmodename,Standard mode,Стандартный режим,Стандартны рэжым,标准模式,Modo estándar,Tavallinen peli,Standartny režym,Tryb standardowy,🐩 📳,Standarta režīms,Standartnâǐ režim
$standardmodedesc,"Just the same old standard mode, what else to say?","Самый стандартный режим, что ещё говорить?","Самы стандартны рэжым, што яшчэ казаць?",最标准的模式，我还能说什么？,"El modo más estándar, ¿qué más decir?",Klassikko! Tavallinen peli.,"Samy standartny režym, što jašče kazać?","Najbardziej standardowy tryb, co jeszcze można powiedzieć?","🌅 🐩 📳, ⚫️❔ 🙆 💪 👤 💬 ❓","Standarta režīms, ko gan citu varu teikt?","Samâǐ standartnâǐ režim, çto eşǐo govoritá?"
$moderror,Mod error!,Ошибка мода!,Памылка мода!,模组错误！,Error de moda!,Modissä tapahtui virhe!,Pamylka moda!,Błąd moda!,👗 ❌ ❗,Mods kļūda!,Ošibka moda!
$modnameerror,Mod name missing,Название не установлено,Назва не ўстаноўлена,名称未设置,Nombre no establecido,Nimi ei lisätty,Nazva nie ŭstanoŭliena,Brak nazwy moda,📛 🚫 ⚒,Nosaukums nav instalēt,Nazvanie ne ustanovleno
$moddescerror,Mod description missing,Описание не установлено,Апісанне не ўстаноўлена,描述未设置,Descripción no instalada,Seloste ei lisätty,Apisańnie nie ŭstanoŭliena,Brak opisu modu,📛 🚫 ⚒,Apraksts nav instalēt,Opisanie ne ustanovleno
$mods,Mods,Моды,Моды,模组,Modas,Modit,Mody,Mody,🧟‍♂,Modi,Modâ
$close,Close,Закрыть,Зачыніць,关闭,Cerrar,Sulje,Začynić,Zamknij,🔐,Aizvērt,Zakrâtá
$modtexterror,The text is not set,Текст не установлен,Тэкст не ўстаноўлены,文本未设置,Texto no instalado,Tekstiä ei asetettu,Tekst nie ŭstanoŭlieny,Tekst nie został ustawiony,✍ 🚫 ⚒,Teksts nav instalēt,Tekst ne ustanovlen
$actionserror,Actions not set,События не установлены,Падзеі не ўстаноўлены,事件未设置,Eventos no establecidos,Tapahtumia ei asetettu,Padziei nie ŭstanoŭlieny,Działania nie zostały ustawione,🎉 🚫 ⚒,Darbības nav instalēt,Sobâtiǐa ne ustanovlenâ
$message,Message,Сообщение,Паведамленне,信息,Mensaje,Viesti,Paviedamlieńnie,Wiadomość,📧,Ziņa,Soobşenie
$open,Open,Открыть,Адкрыць,打开,Abierto,Avaa,Adkrycʹ,Otwarty,📂,Atvērt,Otkrâtá
$website,Website,Веб-сайт,Вэб-сайт,网站,Sitio web,Netti-sivusto,Veb-sajt,Strona,🕸,Veb-saits,Veb-saǐt
$shop,Shop,Магазин,Крама,店铺,Comercio,Kauppa,Krama,Sklep,🏬,Veikals,Magazin
$notset,Not set,Не установлено,Не ўстаноўлена,未安装,No instalado,Ei asetettu,Nje ŭstanoŭlena,Nie ustawiono,🚫 ❎,Nav instalēt,Ne ustanovleno
$buy,Buy,Купить,Купіць,购买,Comprar,Ostaa,Kupicʹ,Kup,💲,Nopirkt,Kupitá
$received,received,получено,атрымана,收到,recibido,saatu,atrymana,otrzymany,📨,saņemts,poluçeno
$modsforzr2.0,Mods for ZR2.0,Моды для ZR2.0,Моды для ZR2.0,ZR2.0 的改装,Mods para ZR2.0,ZR2.0:n modit,Mody dla ZR2.0,Mody dla ZR2.0,🧟‍♂ 💧 ZR2.0,Modi par ZR2.0,Modâ dlǐa ZR2.0
$learnmore,Learn more,Узнать больше,Даведацца больш,更多信息,Más información,Lisätietoa,Daviedacca bołʹš,Dowiedz się więcej,💡 🌅,Uzziniet vairāk,Uznatá boláše
$loading,"Loading, please wait...","Загрузка, пожалуйста подождите...","Загрузка, калі ласка пачакайце...",正在加载，请稍候...,"Cargando, por favor espere...","Ladataan, odota hetki","Zagruzka, kałi łaska pačakajcie...","Ładowanie, proszę czekać...","⏬, 🙏 ⌛...","Ielāde, lūdzu, uzgaidiet...","Zagruzka, požaluǐsta podoždite..."
$errorinternetmods,"Couldn't load mod list, reply code: %s. Please check your internet connection or accessibility of \""kteam.veliona.no\"".","Не получилось получить список модов, код ответа: %s. Проверьте подключение к интернету или доступность адреса \""kteam.veliona.no\"".","Не ўдалося атрымаць спіс модаў, код адказу: %s. Праверце падлучэнне да інтэрнэту або даступнасць адраса \""kteam.veliona.no\"".",无法加载模式列表，回复代码： %s. ,"No se pudo cargar la lista de mods, código de respuesta: %s. Por favor, comprueba tu conexión a internet o la accesibilidad de \""kteam.veliona.no\"".","Modinlistaa ei voitu ladata, vastauskoodi: %s. Tarkista sinun internet-yhteytesi tai osoitteen \""kteam.veliona.no\"" saavutettavuus.","Nje ŭdałosia atrymacʹ spis modaŭ, kod adkazu: %s. Praviercie padłučennie da internetu abo dastupnascʹ adrasa \""kteam.veliona.no\"".","Nie można załadować listy modów, kod odpowiedzi: %s. Sprawdź połączenie internetowe lub dostępność strony \""kteam.veliona.no\"".","Couldn't load mod list, reply code: %s. Please check your internet connection or accessibility of \""kteam.veliona.no\"".","Neizdevās izgūt modifikāciju sarakstu, atbildes kods: %s. Lūdzu, pārbaudiet interneta savienojumu vai adreses \""kteam.veliona.no""\ pieejamību.","Ne poluçilosá poluçitá spisok modov, kod otveta: %s. Proveráte podklǐuçenie k internetu ili dostupnostá adresa \""kteam.veliona.no\""."
$errorinternetmods0,"Couldn't load mod list, you have (in opinion of zombu psychic) disabled internet.","Не получилось получить список модов, у вас (по мнению экстрасэнса зомбу) отключён интернет.","Не атрымалася атрымаць спіс модаў, у вас (па меркаванні экстрасэнса зомбу) адключаны інтэрнэт.",无法获取模式列表，您的网络（据 Zombu 灵媒称）瘫痪了。,"No se puede obtener la lista de mods, su Internet es (de acuerdo con zombu psíquica) hacia abajo.","Modinlistaa ei voitu ladata, sinulla (zombun näkemyksen mukaan) ei ole internet-yhteyttä.","Nje atrymałasia atrymacʹ spis modaŭ, u vas (pa mierkavanni ekstrasensa zombu) adklučany internet.","Nie mogłem pobrać listy modów, twój internet (według zombu psychic) nie działa.","Couldn't load mod list, you have (in opinion of zombu psychic) disabled internet.","Nevar iegūt modifikāciju sarakstu, jūsu interneta savienojums (saskaņā ar zombu ekstrasensu) ir atspējots","Ne poluçilosá poluçitá spisok modov, u vas (po mneniǐu ēkstrasēnsa zombu) otklǐuçǐon internet."
$selectmod,Select a mod...,Выберите мод...,Абярыце рэжым...,选择模式...,Seleccione un mod...,Valitse modin...,Abiarycie režym...,Wybierz mod...,⚒ 🧟‍♂...,Izvēlieties mods...,Vâberite mod...
$downloadmod,Download mod,Скачать мод,Спампаваць мод,下载模式,Descargar mod,Lataa modin,Spampavacʹ mod,Pobierz mod,⏬ 🧟‍♂,Instalēt mods,Skaçatá mod
$classicmodename,Classic mode,Классический режим,Класічны рэжым,经典模式,Modo clásico,Klassillinen pelimuoto,Kłasičny režym,Tryb klasyczny,🌟 📳,Klasiskais režīms,Klassiçeskiǐ režim
$classicmodedesc,"Classic mode from the original Zurvival, hardcore! You can try to compete with friends!","Классический режим из обычного Zurvival'a, хардкор! Можно соревноваться с друзьями!",Рэжым наўпрост з Zurvival. Толькі хардкор!,Zurvival 中的游戏模式。只有硬核！,Un modo sacado directamente de Zurvival. ¡Sólo que hardcore!,"Klassillinen pelimuoto ensimmäisestä Zurvivallistä, hardcore! Voit kilpailla kavereiden kanssa!",Režym naŭprost z Zurvival. Tołʹki chardkor!,Tryb gry widoczny w grze Zurvival. Tylko hardcore!,📳 📏 ⚪️➡️ Zurvival. 👯 🕴 ❗,"Klasiskais režīms no parastās Zurvival spēles, tikai hardcore! Sacenties ar draugiem!","Klassiçeskiǐ režim iz obâçnogo Zurvival'a, hardkor! Možno sorevnovatásǐa s druzáǐami!"
$storage,Storage,Склад,Склад,组成,Almacén,Varasto,Skład,Skład,🏬,Noliktava,Sklad
$restartrequired,Game restart required!,Требуется перезапуск игры!,Патрабуецца перазапуск гульні!,需要重新启动游戏！,Es necesario reiniciar el juego.,Käynnistä peli uudelleen!,Patrabujecca pierazapusk gułʹni!,Wymagany restart gry!,⏏ 🕹 ✔,Nepieciešama spēles restartēšana!,Trebuetsǐa perezapusk igrâ!
$disablesmoothtransitions,Smooth transitions,Плавные переходы,Плыўныя пераходы,禁用平滑过渡,Transiciones suaves,Hienot siirtymät,Płyŭnyja pierachody,Płynne przejścia, 🍦 🔀,Gludas pārejas,Plavnâe perehodâ
$wintermodename,Winter mode,Зимний режим,Зімовы рэжым,冬季模式,Modo invierno,Talvinen pelimuoto,Zimovy režym,Tryb zimowy,❄️📳,Ziemas režīms,Zimniǐ režim
$wintermodedesc,"You found yourself in a forest in the middle of a zombie-apocalypse. Collect planks, defend yourself from zombu's, and don't let the campfire extinguish.","Вы оказались в лесу посреди зомби-апокалисиса зимой. Собирайте палки, защищайтесь от зомбу, и не дайте костру потухнуть.


","Вы апынуліся ў лесе пасярод зомбі-апакалісісу зімой. Збірайце палкі, абараняйцеся ад зомбу, і не дайце вогнішча патухнуць.",你发现自己身处一场冬季丧尸末日中的森林里。收集树枝，保护自己免受丧尸攻击，并保持篝火燃烧。,"Te encuentras en el bosque en medio de un apocalipsis zombu invernal. Recoge leña, protégete de los zombis y mantén el fuego encendido.","Olit löytynyt itsesi metsässä keskellä zombiapokalypsia talvella. Kerää kepiä, puolustaa itseäsi zombuista, ja älä anna kokolle sammua.","Vy apynulisia ŭ liesie pasiarod zombi-apakalisisu zimoj. Źbirajcie palki, abaraniajciesia ad zombu, i nie dajcie vohnišča patuchnuć.","Znalazłeś się w lesie w środku zimowej apokalipsy zombu. Zbieraj patyki, chroń się przed zombu i podtrzymuj ogień.
","👤🌲🌳🧟‍♂️🔥💥
🪵➕🪵🛡️🧟‍♂️🚫
🔥❌➡️🏕️","Tu esi nonācis mežā ziemas zombiju apokalipses vidū. Savāc zarus, pasargā sevi no zombijiem un uzturi uguni degošu.","Vâ okazalisá v lesu posredi zombi-apokalisisa zimoǐ. Sobiraǐte palki, zaşişaǐtesá ot zombu, i ne daǐte kostru potuhnutá.


"
$coldness,Frost,Мороз,Мароз,冷冻,Congelación,Jäätyminen,Maroz,Zamrażanie,❄️,Sals,Moroz
$inventory,Inventory,Инвентарь,Інвентар,存货,Inventario,Tasku,Inventar',Spis,📦🗂️📝,Inventārs,Inventará
$starterpistol,PP-182,ПК-182,ПК-182,PP-182,PP-182,PP-182,PK-182,PP-182,PP-182,PP-182,PK-182
$startermp,MP5,MP5,MP5,MP5,MP5,MP5,MP5,MP5,MP5,MP5,MP5
$selectedweapon,Selected weapon: %s. \nChange weapons using %s,Выбран: %s. \nОружие выбирается c помощью %s,Выбраная зброя: %s. \nЗмяняйце зброю з дапамогай %s,已选武器：%s。\n使用 %s 切换武器。,Arma seleccionada: %s. \nCambia de arma con %s,Valittu ase: %s. \nVaihda aseita %s,Vybranaja zbroja: %s. \nŹmianiajcie zbroju z dapamohaj %s,Wybrana broń: %s. \nZmień broń za pomocą %s,🖊: %s. \n🗡 🖊 ⚙️ %s,"Atlasīts: %s. \nIeroči tiek atlasīti, izmantojot %s",Vybran: %s. \nOruzhie vybiraetsya c pomoshchyu %s
$disablegunhints,Disable weapon hints,Отключить подсказки,Выключыць падказкі,"关闭当前武器显示
",Desactivar sugerencias,Poista vihjeet käytöstä,Vykliučyć padkazki,Wyłącz podpowiedzi,❎ 🗡 🎱,Atspējot rīka padomus,Otklǐuçitá podskazki
$hegrenade,AB-13 Grenade,Граната AB-13,Гранада АБ-13,AB-13手榴弹,Granada AB-13,AB-13-kranaatti,Granat AB-13,Granat AB-13,AB-13,Granāta AB-13,Granata AB-13
$gpadspeed,Gamepad sensitivity,Чувствительность геймпада,Адчувальнасць геймпада,游戏手柄灵敏度,Sensibilidad del gamepad,Peliohjaimen herkkyys,Adčuvalnaść hiejmpada,Czułość gamepada,🕹 🔅,Spēļu vadības ierīces jutība,Chuvstvitelnost gejmpada
$mousewheel,mouse wheel,колёсика мыши,скролу мышы,鼠标滚轮,la rueda del ratón,hiiren rullalla,skrolu myšy,kółka myszy,🐁 🎡,peles ritenīti,kolyosika myshi
$retry,Retry,Заново,Зноў,重来,Reiniciar,Uudelleen,Znoŭ,Ponownie,🔄,Atkārtoti,Zanovo
$challenges,Challenges,Челленджы,Выклікі,挑战,Desafíos,Haasteet,Vykliki,Wyzwania,🏆,Izaicinājumi,Chellendzhy
$challengesdesc,"Try out something new every day, even without internet!",Пробуйте что-то новое каждый день даже без интернета! ,"Пробвайце штосьці новае кожны дзень, нават без інтэрнэту! 
",即使沒有網路，也要每天嘗試新事物！,"¡Prueba algo nuevo cada día, incluso sin Internet! ","Kokeile jotain uutta joka päivää, vaikka jos ei olisi internettiä!","Probvajcie štości novaje kožny dzień, navat biez internetu! ","Próbuj czegoś nowego każdego dnia, nawet bez internetu! 
","🔄 🕳 🆕 🔠 📆, 🍵 🕸 ❗","Izmēģiniet kaut ko jaunu katru dienu, pat bez interneta! ",Probujte chto-to novoe kazhdyj den dazhe bez interneta!
$basicshotgun,Demler 240,Demler 240,Demler 240,Demler 240,Demler 240,Demler 240,Demler 240,Demler 240,Demler 240,Demler 240,Demler 240
$weaponselect,Weapons,Оружия,Зброя,武器,Armas,Aseet,Zbroja,Broń,🗡,Leroči,Oružija
$equip,Equip,Экипировать,Абсталяванне,裝備,Equipar,Varustaa,Abstalavannie,Wyposaż,⚒,Aprīkojums,Èkipirovatʹ
$primary,Primary,Основное,Асноўная зброя,主要,Arma principal,Pääase,Asnoŭnaja zbroja,Broń podstawowa,👑 🗡,Primārais ierocis,Osnovnoe
$sidearm,Sidearm,Лёгкое,Бокавы,副武器,Arma corta,Käsivarsi,Bokavy,Broń boczna,🔆 🗡,Sānu ierocis,Lëgkoe
$utility,Utility,Вспомогательное,Універсальная зброя,實用武器,Arma utilitaria,Apuväline,Univiersałʹnaja zbroja,Broń użytkowa,⚡ 🗡,Lietderīgs ierocis,Vspomogatelʹnoe
